ITEMID,TEST_NAME,FLUID,CATEGORY,LOINC_CODE,LOINC_DESCRIPTION
50298,"ATYPS","ASCITES","HEMATOLOGY","33369-0","Lymphocytes Variant/100 leukocytes in Peritoneal fluid"
50301,"EOS","ASCITES","HEMATOLOGY","30380-0","Eosinophils/100 leukocytes in Peritoneal fluid"
50303,"LYMPHS","ASCITES","HEMATOLOGY","26482-0","Lymphocytes/100 leukocytes in Peritoneal fluid"
50304,"MACROPHAG","ASCITES","HEMATOLOGY","40517-5","Macrophages/100 leukocytes in Peritoneal fluid by Manual count"
50307,"MONOS","ASCITES","HEMATOLOGY","26488-7","Monocytes/100 leukocytes in Peritoneal fluid"
50311,"PLASMA","ASCITES","HEMATOLOGY","40518-3","Plasma cells/100 leukocytes in Peritoneal fluid by Manual count"
50313,"RBC","ASCITES","HEMATOLOGY","26457-2","Erythrocytes [#/volume] in Peritoneal fluid"
50314,"WBC","ASCITES","HEMATOLOGY","26468-9","Leukocytes [#/volume] in Peritoneal fluid"
50316," WBC","BLOOD","HEMATOLOGY","26464-8","Leukocytes [#/volume] in Blood"
50317,"ABS CD3","BLOOD","HEMATOLOGY","8122-4","CD3 cells [#/volume] in Blood"
50319,"ABS CD8","BLOOD","HEMATOLOGY","8137-2","CD8 cells [#/volume] in Blood"
50320,"ABS LYMPH","BLOOD","HEMATOLOGY","26474-7","Lymphocytes [#/volume] in Blood"
50322,"ACA IgG","BLOOD","HEMATOLOGY","8065-5","Cardiolipin IgG Ab [Units/volume] in Serum"
50323,"ACA IgM","BLOOD","HEMATOLOGY","3182-3","Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay"
50324,"ACANTHOCY","BLOOD","HEMATOLOGY","7789-1","Acanthocytes [Presence] in Blood by Light microscopy"
50330,"AT III","BLOOD","HEMATOLOGY","27811-9","Antithrombin actual/normal in Platelet poor plasma by Chromogenic method"
50332,"BANDS","BLOOD","HEMATOLOGY","26508-2","Neutrophils.band form/100 leukocytes in Blood"
50333,"BASOS","BLOOD","HEMATOLOGY","30180-4","Basophils/100 leukocytes in Blood"
50334,"BITE","BLOOD","HEMATOLOGY","10371-3","Bite cells [Presence] in Blood by Light microscopy"
50337,"BURR","BLOOD","HEMATOLOGY","7790-9","Burr cells [Presence] in Blood by Light microscopy"
50339,"CD117","BLOOD","HEMATOLOGY","17107-4","CD117 cells/100 cells in Blood"
50340,"CD11c","BLOOD","HEMATOLOGY","8109-1","CD11c cells/100 cells in Blood"
50342,"CD138","BLOOD","HEMATOLOGY","42869-8","CD138 cells/100 cells in Blood"
50343,"CD14","BLOOD","HEMATOLOGY","8111-7","CD14 cells/100 cells in Blood"
50345,"CD16","BLOOD","HEMATOLOGY","8115-8","CD16 cells/100 cells in Blood"
50346,"CD16/56","BLOOD","HEMATOLOGY","18267-5","CD16+CD56+ cells/100 cells in Blood"
50348,"CD2","BLOOD","HEMATOLOGY","8118-2","CD2 cells/100 cells in Blood"
50350,"CD22","BLOOD","HEMATOLOGY","14017-8","CD22 cells/100 cells in Blood"
50351,"CD23","BLOOD","HEMATOLOGY","14018-6","CD23 cells/100 cells in Blood"
50353,"CD33","BLOOD","HEMATOLOGY","8102-6","CD33 cells/100 cells in Blood"
50354,"CD34","BLOOD","HEMATOLOGY","8125-7","CD34 cells/100 cells in Blood"
50356,"CD4","BLOOD","HEMATOLOGY","8128-1","CD4 cells/100 cells in Blood"
50357,"CD4/CD8","BLOOD","HEMATOLOGY","8129-9","CD4 cells/CD8 Cells [# Ratio] in Blood"
50359,"CD45","BLOOD","HEMATOLOGY","8130-7","CD45 cells/100 cells in Blood"
50361,"CD55","BLOOD","HEMATOLOGY","17175-1","CD55 cells/100 cells in Blood"
50362,"CD56","BLOOD","HEMATOLOGY","8133-1","CD56 cells/100 cells in Blood"
50364,"CD64","BLOOD","HEMATOLOGY","17183-5","CD64 cells/100 cells in Blood"
50365,"CD7","BLOOD","HEMATOLOGY","8135-6","CD7 cells/100 cells in Blood"
50367,"CD8","BLOOD","HEMATOLOGY","8138-0","CD8 cells/100 cells in Blood"
50371,"ELLIPTOCY","BLOOD","HEMATOLOGY","11274-8","Elliptocytes [Presence] in Blood by Light microscopy"
50374,"EOS CT","BLOOD","HEMATOLOGY","26449-9","Eosinophils [#/volume] in Blood"
50376,"FDP","BLOOD","HEMATOLOGY","30226-5","Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma"
50378,"FIBRINOGE","BLOOD","HEMATOLOGY","3255-7","Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay"
50380,"FRAGMENT","BLOOD","HEMATOLOGY","40746-0","Fragments [Presence] in Blood by Automated count"
50381,"GLYCO A","BLOOD","HEMATOLOGY","17221-3","CD235a cells/100 cells in Blood"
50383,"HCT","BLOOD","HEMATOLOGY","20570-8","Hematocrit [Volume Fraction] of Blood"
50384,"HEINZ","BLOOD","HEMATOLOGY","48068-1","Heinz bodies [Presence] in Blood"
50385,"HEPARIN","BLOOD","HEMATOLOGY","13055-9","Heparin [Units/volume] in Platelet poor plasma"
50387,"HGB A","BLOOD","HEMATOLOGY","4546-8","Hemoglobin A/Hemoglobin.total in Blood"
50389,"HGB C","BLOOD","HEMATOLOGY","4563-3","Hemoglobin C/Hemoglobin.total in Blood"
50390,"HGB F","BLOOD","HEMATOLOGY","4576-5","Hemoglobin F/Hemoglobin.total in Blood"
50392,"HLA-DR","BLOOD","HEMATOLOGY","32621-5","HLA-DR [Presence]"
50393,"HOS","BLOOD","HEMATOLOGY","38924-7","TBX5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal"
50394,"HOW-JOL","BLOOD","HEMATOLOGY","7793-3","Howell-Jolly bodies [Presence] in Blood by Light microscopy"
50396,"HYPOCHROM","BLOOD","HEMATOLOGY","728-6","Hypochromia [Presence] in Blood by Light microscopy"
50397,"II","BLOOD","HEMATOLOGY","3289-6","Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay"
50401,"IX","BLOOD","HEMATOLOGY","3187-2","Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay"
50404,"LAP","BLOOD","HEMATOLOGY","15112-6","Leukocyte phosphatase [Units/volume] in Leukocytes"
50405,"LMWH","BLOOD","HEMATOLOGY","32684-3","LMW Heparin [Units/volume] in Platelet poor plasma"
50408,"LYMPHS","BLOOD","HEMATOLOGY","26478-8","Lymphocytes/100 leukocytes in Blood"
50409,"MACROCYT","BLOOD","HEMATOLOGY","30424-6","Macrocytes [Presence] in Blood"
50410,"MACROOVAL","BLOOD","HEMATOLOGY","10376-2","Oval macrocytes [Presence] in Blood by Light microscopy"
50412,"MCHC","BLOOD","HEMATOLOGY","28540-3","Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume]"
50413,"MCV","BLOOD","HEMATOLOGY","30428-7","Erythrocyte mean corpuscular volume [Entitic volume]"
50415,"MICROCYT","BLOOD","HEMATOLOGY","30434-5","Microcytes [Presence] in Blood"
50417,"MONOS","BLOOD","HEMATOLOGY","26485-3","Monocytes/100 leukocytes in Blood"
50418,"MYELOS","BLOOD","HEMATOLOGY","26498-6","Myelocytes/100 leukocytes in Blood"
50419,"NEUTS","BLOOD","HEMATOLOGY","26505-8","Neutrophils.segmented/100 leukocytes in Blood"
50421,"OS FRAG","BLOOD","HEMATOLOGY","34964-7","Osmotic fragility [interpretation] of Red Blood Cells"
50423,"OVALOCYT","BLOOD","HEMATOLOGY","774-0","Ovalocytes [Presence] in Blood by Light microscopy"
50424,"PAPPENHEI","BLOOD","HEMATOLOGY","7795-8","Pappenheimer bodies [Presence] in Blood by Light microscopy"
50426,"PENCIL","BLOOD","HEMATOLOGY","10377-0","Pencil cells [Presence] in Blood by Light microscopy"
50428,"PLT COUNT","BLOOD","HEMATOLOGY","26515-7","Platelets [#/volume] in Blood"
50442,"RBC","BLOOD","HEMATOLOGY","26453-1","Erythrocytes [#/volume] in Blood"
50444,"RDW","BLOOD","HEMATOLOGY","30385-9","Erythrocyte distribution width [Ratio]"
50446,"REPTLAS","BLOOD","HEMATOLOGY","6683-7","Reptilase time in Platelet poor plasma by Coagulation assay"
50447,"RET AUT","BLOOD","HEMATOLOGY","17849-1","Reticulocytes/100 erythrocytes in Red Blood Cells by Automated count"
50450,"SCHISTOCY","BLOOD","HEMATOLOGY","800-3","Schistocytes [Presence] in Blood by Light microscopy"
50452,"SERUM VIS","BLOOD","HEMATOLOGY","3128-6","Viscosity of Serum"
50453,"SICKLE","BLOOD","HEMATOLOGY","801-1","Sickle cells [Presence] in Blood by Light microscopy"
50455,"SPHEROCYT","BLOOD","HEMATOLOGY","802-9","Spherocytes [Presence] in Blood by Light microscopy"
50456,"STIPPLED","BLOOD","HEMATOLOGY","703-9","Basophilic stippling [Presence] in Blood by Light microscopy"
50458,"TARGET","BLOOD","HEMATOLOGY","10381-2","Target cells [Presence] in Blood by Light microscopy"
50459,"TEARDROP","BLOOD","HEMATOLOGY","7791-7","Dacrocytes [Presence] in Blood by Light microscopy"
50460,"THROMBN","BLOOD","HEMATOLOGY","3243-3","Thrombin time in Platelet poor plasma by Coagulation assay"
50461,"V","BLOOD","HEMATOLOGY","3193-0","Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay"
50462,"VII","BLOOD","HEMATOLOGY","3198-9","Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay"
50464,"VIII INH","BLOOD","HEMATOLOGY","3204-5","Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay"
50465,"VWF AG","BLOOD","HEMATOLOGY","27816-8","von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunologic method"
50466,"VWF CO","BLOOD","HEMATOLOGY","6014-5","von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Aggregation"
50470,"XI","BLOOD","HEMATOLOGY","3226-8","Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay"
50471,"XII","BLOOD","HEMATOLOGY","3232-6","Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay"
50472,"XIII","BLOOD","HEMATOLOGY","27815-0","Coagulation factor XIII activity actual/normal in Platelet poor plasma by Chromogenic method"
50475,"CD103","BONE MARROW","HEMATOLOGY","51221-0","CD103 cells/100 cells in Bone marrow"
50476,"CD117","BONE MARROW","HEMATOLOGY","42866-4","CD117 cells/100 cells in Bone marrow"
50478,"CD13","BONE MARROW","HEMATOLOGY","51237-6","CD13 cells/100 cells in Bone marrow"
50480,"CD15","BONE MARROW","HEMATOLOGY","51251-7","CD15 cells/100 cells in Bone marrow"
50482,"CD16/56","BONE MARROW","HEMATOLOGY","51255-8","CD16+CD56+ cells/100 cells in Bone marrow"
50484,"CD2","BONE MARROW","HEMATOLOGY","32527-4","CD2 cells/100 cells in Bone marrow"
50486,"CD23","BONE MARROW","HEMATOLOGY","51268-1","CD23 cells/100 cells in Bone marrow"
50488,"CD33","BONE MARROW","HEMATOLOGY","51293-9","CD33 cells/100 cells in Bone marrow"
50490,"CD4","BONE MARROW","HEMATOLOGY","51301-0","CD4 cells/100 cells in Bone marrow"
50491,"CD41","BONE MARROW","HEMATOLOGY","51319-2","CD41 cells/100 cells in Bone marrow"
50493,"CD5","BONE MARROW","HEMATOLOGY","35640-2","CD5 cells/100 cells in Bone marrow"
50496,"CD59","BONE MARROW","HEMATOLOGY","51358-0","CD59 cells/100 cells in Bone marrow"
50497,"CD64","BONE MARROW","HEMATOLOGY","51365-5","CD64 cells/100 cells in Bone marrow"
50500,"CD8","BONE MARROW","HEMATOLOGY","51372-1","CD8+HLA-DR+ cells/100 cells in Bone marrow"
50502,"GLYCO A","BONE MARROW","HEMATOLOGY","33208-0","CD235a cells/100 cells in Bone marrow"
50505,"IRON","BONE MARROW","HEMATOLOGY","13513-7","Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain"
50508,"WRIGHT-G","BONE MARROW","HEMATOLOGY","10355-6","Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain"
50510,"BANDS","CSF","HEMATOLOGY","26509-0","Neutrophils.band form/100 leukocytes in Cerebral spinal fluid"
50511,"BASOS","CSF","HEMATOLOGY","30374-3","Basophils/100 leukocytes in Cerebral spinal fluid"
50512,"BLASTS","CSF","HEMATOLOGY","26447-3","Blasts/100 leukocytes in Cerebral spinal fluid"
50514,"HCT","CSF","HEMATOLOGY","30398-2","Hematocrit [Volume Fraction] of Cerebral spinal fluid"
50515,"HYPERSEG","CSF","HEMATOLOGY","26506-6","Neutrophils.segmented/100 leukocytes in Cerebral spinal fluid"
50516,"LYMPHS","CSF","HEMATOLOGY","26479-6","Lymphocytes/100 leukocytes in Cerebral spinal fluid"
50518,"MESOTHELI","CSF","HEMATOLOGY","30429-5","Mesothelial cells/100 leukocytes in Cerebral spinal fluid"
50519,"METAS","CSF","HEMATOLOGY","30366-9","Metamyelocytes/100 leukocytes in Cerebral spinal fluid"
50520,"MONOS","CSF","HEMATOLOGY","26486-1","Monocytes/100 leukocytes in Cerebral spinal fluid"
50522,"NUC RBCS","CSF","HEMATOLOGY","48778-5","Nucleated Erythrocytes/100 cells in Cerebral spinal fluid"
50524,"PLASMA","CSF","HEMATOLOGY","47413-0","Plasma cells/100 leukocytes in Cerebral spinal fluid"
50525,"POLYS","CSF","HEMATOLOGY","26517-3","Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid"
50527,"WBC","CSF","HEMATOLOGY","26465-5","Leukocytes [#/volume] in Cerebral spinal fluid"
50529,"ATYPS","JOINT FLUID","HEMATOLOGY","33371-6","Lymphocytes Variant/100 leukocytes in Synovial fluid"
50531,"BASOS","JOINT FLUID","HEMATOLOGY","17833-5","Basophils/100 leukocytes in Synovial fluid"
50534,"EOS","JOINT FLUID","HEMATOLOGY","17834-3","Eosinophils/100 leukocytes in Synovial fluid"
50538,"MACROPHAG","JOINT FLUID","HEMATOLOGY","33376-5","Macrophages/100 leukocytes in Synovial fluid"
50539,"MESOTHELI","JOINT FLUID","HEMATOLOGY","33365-8","Mesothelial cells/100 leukocytes in Synovial fluid"
50542,"NUC RBCS","JOINT FLUID","HEMATOLOGY","48040-0","Nucleated Erythrocytes/100 leukocytes [Ratio] in Synovial fluid by Manual count"
50545,"POLYS","JOINT FLUID","HEMATOLOGY","26522-3","Polymorphonuclear cells/100 leukocytes in Synovial fluid"
50548,"WBC","JOINT FLUID","HEMATOLOGY","26469-7","Leukocytes [#/volume] in Synovial fluid"
50550,"BANDS","OTHER BODY FLUID","HEMATOLOGY","26510-8","Neutrophils.band form/100 leukocytes in Body fluid"
50551,"BASOS","OTHER BODY FLUID","HEMATOLOGY","28543-7","Basophils/100 leukocytes in Body fluid"
50553,"CD117","OTHER BODY FLUID","HEMATOLOGY","42867-2","CD117 cells/100 cells in Body fluid"
50555,"CD13","OTHER BODY FLUID","HEMATOLOGY","51238-4","CD13 cells/100 cells in Body fluid"
50557,"CD14","OTHER BODY FLUID","HEMATOLOGY","51248-3","CD14 cells/100 cells in Body fluid"
